,text,CaseFolding,TextClean,Tokenizing,Normalization,Stopwords
0,🔥🔥🔥,🔥🔥🔥,,[],[],[]
1,Congrats❤️😍,congrats❤️😍,congrats,['congrats'],['selamat'],['selamat']
2,Mau nanya ka untuk maribelajar ini dapet uang saku ga ya?,mau nanya ka untuk maribelajar ini dapet uang saku ga ya?,mau nanya ka untuk maribelajar ini dapet uang saku ga ya,"['mau', 'nanya', 'ka', 'untuk', 'maribelajar', 'ini', 'dapet', 'uang', 'saku', 'ga', 'ya']","['mau', 'bertanya', 'kakak', 'untuk', 'maribelajar', 'ini', 'dapat', 'uang', 'saku', 'tidak', 'ya']","['kakak', 'maribelajar', 'uang', 'saku']"
3,@salsaaynn_ @anandita_eka_f kalau ada jawaban tlg tag aku kaa,@salsaaynn_ @anandita_eka_f kalau ada jawaban tlg tag aku kaa,kalau ada jawaban tlg tag aku kaa,"['kalau', 'ada', 'jawaban', 'tlg', 'tag', 'aku', 'kaa']","['kalau', 'ada', 'jawaban', 'tolong', 'tag', 'aku', 'kakak']","['tolong', 'tag', 'kakak']"
4,@jrmysmbrng dapet brp???,@jrmysmbrng dapet brp???,dapet brp,"['dapet', 'brp']","['dapat', 'berapa']",[]
5,"@jrmysmbrng dapet berapa ya kak,maaf kalau boleh tau kak 🙏","@jrmysmbrng dapet berapa ya kak,maaf kalau boleh tau kak 🙏",dapet berapa ya kakmaaf kalau boleh tau kak,"['dapet', 'berapa', 'ya', 'kakmaaf', 'kalau', 'boleh', 'tau', 'kak']","['dapat', 'berapa', 'ya', 'kakmaaf', 'kalau', 'boleh', 'tau', 'kakak']","['kakmaaf', 'kakak']"
6,"Selamat malam kak, mohon maaf mengganggu. Saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia. Saya harap mendapatkan link baru, soalnya sudah dekat tanggal 5. Terima kasih.","selamat malam kak, mohon maaf mengganggu. saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia. saya harap mendapatkan link baru, soalnya sudah dekat tanggal 5. terima kasih.",selamat malam kak mohon maaf mengganggu saya mau membuka link format surat pernyataan tanggung jawab mutlak mahasiswa tetapi isinya susah dihapus dan tidak tersedia saya harap mendapatkan link baru soalnya sudah dekat tanggal terima kasih,"['selamat', 'malam', 'kak', 'mohon', 'maaf', 'mengganggu', 'saya', 'mau', 'membuka', 'link', 'format', 'surat', 'pernyataan', 'tanggung', 'jawab', 'mutlak', 'mahasiswa', 'tetapi', 'isinya', 'susah', 'dihapus', 'dan', 'tidak', 'tersedia', 'saya', 'harap', 'mendapatkan', 'link', 'baru', 'soalnya', 'sudah', 'dekat', 'tanggal', 'terima', 'kasih']","['selamat', 'malam', 'kakak', 'mohon', 'maaf', 'mengganggu', 'saya', 'mau', 'membuka', 'link', 'format', 'surat', 'pernyataan', 'tanggung', 'jawab', 'mutlak', 'mahasiswa', 'tetapi', 'isinya', 'susah', 'dihapus', 'dan', 'tidak', 'tersedia', 'saya', 'harap', 'mendapatkan', 'link', 'baru', 'soalnya', 'sudah', 'dekat', 'tanggal', 'terima', 'kasih']","['selamat', 'malam', 'kakak', 'mohon', 'maaf', 'mengganggu', 'membuka', 'link', 'format', 'surat', 'pernyataan', 'tanggung', 'mutlak', 'mahasiswa', 'isinya', 'susah', 'dihapus', 'tersedia', 'harap', 'link', 'tanggal', 'terima', 'kasih']"
7,@pintarmt_ 1.2 jt perbulan,@pintarmt_ 1.2 jt perbulan,jt perbulan,"['jt', 'perbulan']","['juta', 'perbulan']","['juta', 'perbulan']"
8,Ini scraping ya menggunakan bahasa python ?,ini scraping ya menggunakan bahasa python ?,ini scraping ya menggunakan bahasa python,"['ini', 'scraping', 'ya', 'menggunakan', 'bahasa', 'python']","['ini', 'scraping', 'ya', 'menggunakan', 'bahasa', 'python']","['scraping', 'bahasa', 'python']"
9,"@ajied_dhoifullah benar kak, yuk ikuti kegiatannya 😁","@ajied_dhoifullah benar kak, yuk ikuti kegiatannya 😁",benar kak yuk ikuti kegiatannya,"['benar', 'kak', 'yuk', 'ikuti', 'kegiatannya']","['benar', 'kakak', 'ayo', 'ikuti', 'kegiatannya']","['kakak', 'ayo', 'ikuti', 'kegiatannya']"
